Filename,Predicted Class,Correct,Confidence
10291.ppm,12,True,0.060786817
00082.ppm,25,True,0.060666744
09918.ppm,32,True,0.05975943
12486.ppm,17,True,0.060786
02695.ppm,13,True,0.060786817
04582.ppm,12,True,0.060783863
05844.ppm,18,True,0.060785957
11831.ppm,12,True,0.027903745
06395.ppm,19,True,0.058921732
11825.ppm,25,False,0.029878072
00928.ppm,2,False,0.032555163
06381.ppm,4,True,0.060017545
05688.ppm,35,True,0.06078665
04596.ppm,10,True,0.060786612
05850.ppm,31,True,0.060779635
02859.ppm,34,True,0.060747657
12492.ppm,4,True,0.0395864
02681.ppm,2,True,0.060734477
01388.ppm,12,True,0.059852403
07921.ppm,16,True,0.060784828
10285.ppm,25,True,0.060624022
00096.ppm,3,True,0.05642913
05851.ppm,30,True,0.053650144
04597.ppm,3,True,0.044233136
05689.ppm,5,False,0.040452838
06380.ppm,38,True,0.060786817
00929.ppm,17,True,0.060786817
11824.ppm,17,True,0.060786817
00097.ppm,38,True,0.052279532
10284.ppm,15,False,0.024883851
07920.ppm,21,False,0.060774896
01389.ppm,18,True,0.058987927
02680.ppm,1,True,0.0607778
12493.ppm,34,True,0.060786817
02858.ppm,13,True,0.0605742
02694.ppm,2,False,0.04380803
12487.ppm,5,True,0.059451733
00083.ppm,5,False,0.05623433
09919.ppm,10,True,0.060764823
10290.ppm,10,False,0.035976797
07934.ppm,25,True,0.060777213
06394.ppm,3,True,0.029837513
11830.ppm,30,True,0.055201046
05845.ppm,5,False,0.040288933
04583.ppm,17,True,0.060786817
00915.ppm,13,True,0.060786817
08391.ppm,13,True,0.06078681
11818.ppm,10,True,0.06035843
02864.ppm,31,False,0.038326755
09931.ppm,7,False,0.059982225
09925.ppm,1,True,0.06078587
07908.ppm,1,True,0.04498453
02870.ppm,12,True,0.060786817
05879.ppm,38,True,0.059575412
00901.ppm,24,True,0.058020502
08385.ppm,4,True,0.060729012
10521.ppm,2,True,0.060489908
00732.ppm,14,True,0.060786817
06343.ppm,0,False,0.029356157
09070.ppm,12,True,0.060786817
12336.ppm,39,True,0.060786817
02125.ppm,13,True,0.060786817
05892.ppm,28,False,0.059226498
04554.ppm,9,True,0.060774717
04232.ppm,13,True,0.060786817
02643.ppm,34,True,0.060786817
12450.ppm,7,True,0.060551863
06425.ppm,37,False,0.055367667
11159.ppm,4,True,0.060140025
09716.ppm,38,True,0.060786817
00054.ppm,13,True,0.060786817
08408.ppm,5,True,0.06063317
10247.ppm,7,True,0.05172609
06431.ppm,1,True,0.060785364
09702.ppm,33,True,0.060786817
00040.ppm,7,True,0.059654824
10253.ppm,10,True,0.060657583
04226.ppm,7,True,0.038718145
03549.ppm,10,True,0.06078493
02657.ppm,25,True,0.06078648
12444.ppm,12,True,0.060786817
05138.ppm,38,True,0.060786817
12322.ppm,23,False,0.038675558
02131.ppm,9,True,0.060786817
05886.ppm,35,True,0.04245473
04540.ppm,2,True,0.060786713
07049.ppm,4,False,0.0355585
10535.ppm,25,True,0.060758162
00726.ppm,14,True,0.057182834
01438.ppm,10,True,0.06078318
06357.ppm,1,True,0.041779105
09064.ppm,18,False,0.05024762
05676.ppm,25,True,0.059514616
02119.ppm,5,False,0.05022801
03207.ppm,31,True,0.055819143
04568.ppm,10,True,0.06077205
08352.ppm,21,True,0.06077777
07061.ppm,7,True,0.06054682
01410.ppm,15,True,0.060781516
11603.ppm,2,True,0.060768723
11165.ppm,2,True,0.06078681
06419.ppm,11,True,0.05590325
01376.ppm,8,True,0.059516028
00068.ppm,5,True,0.038393922
08434.ppm,12,True,0.060786784
07707.ppm,4,True,0.060535956
03561.ppm,6,True,0.044686712
05110.ppm,15,False,0.03513626
03575.ppm,8,True,0.060438648
05104.ppm,2,True,0.037864715
12478.ppm,19,True,0.059130564
11171.ppm,25,True,0.060786527
01362.ppm,8,True,0.05752836
08420.ppm,5,True,0.05925846
07713.ppm,6,True,0.054305676
10509.ppm,10,True,0.060772765
08346.ppm,17,True,0.060786817
07075.ppm,38,True,0.060786817
01404.ppm,38,True,0.060786817
09058.ppm,9,True,0.05950326
11617.ppm,30,True,0.059968214
05662.ppm,18,True,0.04867622
03213.ppm,12,True,0.060786817
03944.ppm,7,True,0.03638966
02482.ppm,30,False,0.03942141
08811.ppm,8,True,0.06061343
11398.ppm,35,True,0.060786817
10086.ppm,8,False,0.05688361
00295.ppm,1,True,0.060785815
01835.ppm,2,True,0.056622367
06182.ppm,4,True,0.06037284
10938.ppm,1,True,0.060785837
04795.ppm,1,False,0.051078144
04959.ppm,2,True,0.060783774
04781.ppm,4,True,0.05932576
01821.ppm,28,True,0.060769472
07288.ppm,5,True,0.048243765
06196.ppm,12,True,0.060786817
08805.ppm,15,True,0.060606766
10092.ppm,9,True,0.060766596
00281.ppm,38,False,0.036918208
06828.ppm,31,False,0.039088264
03788.ppm,10,True,0.060781315
03950.ppm,4,True,0.060530297
02496.ppm,2,False,0.036699403
06800.ppm,37,True,0.060786817
03978.ppm,31,True,0.060249463
04971.ppm,15,True,0.060786817
08193.ppm,34,True,0.060786817
01809.ppm,35,True,0.0415272
10904.ppm,5,False,0.04364571
08187.ppm,28,False,0.04036567
09299.ppm,18,True,0.060770098
10910.ppm,41,True,0.060786705
04965.ppm,11,True,0.0580232
08839.ppm,5,True,0.04506644
06814.ppm,12,False,0.03544576
10045.ppm,8,True,0.051059607
07539.ppm,12,True,0.06077531
00256.ppm,35,True,0.060786817
01148.ppm,5,True,0.060562655
09514.ppm,26,True,0.06002726
06627.ppm,1,True,0.035028704
03987.ppm,31,True,0.06010898
02441.ppm,24,False,0.052486315
04030.ppm,6,True,0.060463764
04756.ppm,18,True,0.05421596
03039.ppm,42,True,0.046350066
02327.ppm,4,False,0.05356084
05448.ppm,15,True,0.060786247
12134.ppm,4,False,0.047476772
09272.ppm,2,True,0.060786776
06141.ppm,26,True,0.06076919
00530.ppm,13,True,0.060786817
10723.ppm,10,True,0.060783137
11429.ppm,38,True,0.060786817
09266.ppm,2,True,0.060678583
06155.ppm,25,True,0.050020263
00524.ppm,11,True,0.060786296
08178.ppm,35,True,0.06078681
10737.ppm,2,True,0.060527872
04742.ppm,13,True,0.060786817
02333.ppm,36,True,0.06078676
12120.ppm,11,False,0.037880514
03993.ppm,39,True,0.060786817
02455.ppm,9,True,0.058009904
04024.ppm,10,True,0.06077996
10051.ppm,10,True,0.06078648
00242.ppm,20,True,0.056922045
09500.ppm,7,True,0.059089996
06633.ppm,19,True,0.03953415
05312.ppm,1,True,0.0603028
03763.ppm,13,True,0.060786817
07505.ppm,29,True,0.060643777
10079.ppm,1,True,0.060784437
08636.ppm,13,True,0.060786802
01174.ppm,38,True,0.06078676
09528.ppm,27,True,0.039146565
11367.ppm,17,True,0.060786817
11401.ppm,13,True,0.060786817
01612.ppm,41,False,0.04642055
07263.ppm,5,True,0.047817796
08150.ppm,37,False,0.048566706
03005.ppm,12,True,0.060786407
12108.ppm,1,True,0.060051296
05474.ppm,38,True,0.060786817
03011.ppm,9,True,0.048874978
05460.ppm,8,True,0.060571093
06169.ppm,24,True,0.030987296
11415.ppm,11,False,0.060760476
01606.ppm,18,True,0.060763553
00518.ppm,8,True,0.060782447
07277.ppm,18,True,0.057384666
08144.ppm,35,False,0.025445279
07511.ppm,31,False,0.039411016
08622.ppm,12,True,0.0240992
01160.ppm,41,False,0.050375074
11373.ppm,5,True,0.048167326
05306.ppm,38,True,0.060786817
02469.ppm,1,True,0.04220833
03777.ppm,11,True,0.060769863
04018.ppm,2,True,0.06076509
05299.ppm,36,True,0.06078681
03830.ppm,1,True,0.058482617
04187.ppm,25,True,0.060786713
06948.ppm,42,True,0.057571974
06790.ppm,25,True,0.060784895
08965.ppm,14,True,0.06077786
01799.ppm,9,True,0.060786817
01941.ppm,15,True,0.060773697
10694.ppm,12,True,0.060786746
00487.ppm,31,True,0.060544368
12083.ppm,12,True,0.06078631
04839.ppm,4,True,0.06033435
02290.ppm,1,True,0.060786776
12097.ppm,16,True,0.06078624
02284.ppm,4,True,0.05882181
10858.ppm,4,False,0.030878779
10680.ppm,3,True,0.060761377
01955.ppm,1,True,0.055206817
00493.ppm,2,False,0.045106158
06784.ppm,12,True,0.060786817
08971.ppm,25,True,0.060785536
03824.ppm,17,True,0.026850622
04193.ppm,18,True,0.060786452
06974.ppm,19,False,0.029587282
08781.ppm,1,True,0.05669354
08959.ppm,13,True,0.060786817
04805.ppm,10,True,0.060561724
10870.ppm,35,True,0.060377818
10864.ppm,2,False,0.038609233
01969.ppm,36,False,0.058130812
04811.ppm,18,True,0.060244314
03818.ppm,10,True,0.060786374
06960.ppm,12,False,0.059975006
08795.ppm,13,True,0.060786817
09460.ppm,10,True,0.060786817
06753.ppm,1,True,0.060786817
00322.ppm,5,True,0.05561512
10131.ppm,33,True,0.060786817
04144.ppm,35,True,0.050821953
02535.ppm,40,True,0.056308277
12040.ppm,12,False,0.05085693
02253.ppm,11,True,0.060786724
04622.ppm,4,True,0.058516998
08018.ppm,12,True,0.060786802
01982.ppm,10,True,0.06052856
10657.ppm,35,True,0.044083823
00444.ppm,25,True,0.0607865
11549.ppm,11,True,0.060514506
09306.ppm,5,True,0.04508647
06035.ppm,7,True,0.060786784
10643.ppm,17,True,0.06078669
01996.ppm,35,True,0.046538327
00450.ppm,9,True,0.060785268
09312.ppm,8,True,0.060481876
06021.ppm,10,True,0.060284324
05528.ppm,37,True,0.06076568
12054.ppm,12,True,0.060786817
02247.ppm,13,True,0.060786817
03159.ppm,5,True,0.03898252
04636.ppm,33,True,0.060762174
04150.ppm,35,True,0.054778136
02521.ppm,15,True,0.060729243
09474.ppm,5,True,0.06043429
06747.ppm,35,True,0.060786676
01028.ppm,12,True,0.060786817
00336.ppm,8,False,0.044206243
10125.ppm,13,True,0.060786817
07459.ppm,2,False,0.035689645
04178.ppm,5,True,0.060373
03617.ppm,21,True,0.06077644
02509.ppm,7,False,0.03486041
05266.ppm,38,True,0.060728814
11213.ppm,3,True,0.03773444
01000.ppm,17,True,0.060786817
07471.ppm,38,True,0.06077315
08742.ppm,2,False,0.057730734
07317.ppm,8,True,0.051457293
08024.ppm,38,True,0.060786817
00478.ppm,24,True,0.059074536
01766.ppm,14,True,0.06078383
06009.ppm,3,True,0.045324016
11575.ppm,18,True,0.053690583
05500.ppm,17,True,0.060786817
03171.ppm,8,True,0.05172483
12068.ppm,25,True,0.060786802
05514.ppm,38,True,0.060786817
03165.ppm,17,True,0.060786817
07303.ppm,35,True,0.060786817
08030.ppm,35,True,0.031116145
01772.ppm,39,True,0.060786817
11561.ppm,14,True,0.06067918
09448.ppm,35,False,0.02598876
11207.ppm,41,False,0.038324315
01014.ppm,12,True,0.060786817
07465.ppm,14,True,0.060786817
10119.ppm,20,True,0.059175104
08756.ppm,2,True,0.046278507
03603.ppm,4,True,0.055674974
05272.ppm,8,False,0.04058822
02092.ppm,9,True,0.060771577
12281.ppm,13,True,0.060786817
05925.ppm,12,True,0.03554403
11950.ppm,22,True,0.060410235
00685.ppm,35,True,0.060786817
10496.ppm,10,True,0.06078259
11788.ppm,21,True,0.060786493
07854.ppm,38,True,0.060786817
06592.ppm,3,True,0.056270573
09879.ppm,38,True,0.060786817
04385.ppm,8,True,0.04489279
02938.ppm,4,True,0.060666006
04391.ppm,17,True,0.060786817
07840.ppm,25,True,0.058945272
06586.ppm,2,True,0.060786817
07698.ppm,8,True,0.05082745
00691.ppm,1,False,0.032172754
11944.ppm,4,True,0.054439846
10482.ppm,5,True,0.06066368
00849.ppm,28,False,0.037712283
02086.ppm,29,False,0.043707546
12295.ppm,4,True,0.059788708
03398.ppm,7,True,0.052723963
05931.ppm,17,True,0.060786746
00861.ppm,6,True,0.0592753
05919.ppm,9,True,0.060481258
02910.ppm,15,True,0.0601121
07868.ppm,35,True,0.060786817
08583.ppm,5,False,0.054670796
09845.ppm,8,True,0.059266124
09689.ppm,4,True,0.048176423
08597.ppm,8,True,0.059010632
09851.ppm,5,False,0.041523527
02904.ppm,5,True,0.05606365
11978.ppm,38,True,0.060786776
00875.ppm,1,True,0.03811627
06237.ppm,33,True,0.060786776
09104.ppm,8,True,0.060224097
01558.ppm,2,True,0.060550988
11993.ppm,11,True,0.06078598
00646.ppm,12,True,0.060786817
07129.ppm,37,True,0.060780138
10455.ppm,2,True,0.060544543
04420.ppm,31,True,0.060048822
02051.ppm,1,True,0.060781814
12242.ppm,14,True,0.058613498
12524.ppm,33,True,0.060786817
05058.ppm,9,True,0.06076028
02737.ppm,2,False,0.03364874
03429.ppm,35,True,0.060786802
04346.ppm,9,True,0.060777932
10333.ppm,4,True,0.060735468
00120.ppm,13,True,0.060786817
07897.ppm,25,True,0.06078352
06551.ppm,2,True,0.060786556
09662.ppm,9,True,0.060782358
08568.ppm,1,True,0.06073774
10327.ppm,15,True,0.060781136
00134.ppm,11,True,0.060781512
07883.ppm,17,True,0.060786817
06545.ppm,4,False,0.03436413
11039.ppm,11,True,0.06076212
09676.ppm,13,True,0.060344663
12530.ppm,21,False,0.030447409
02723.ppm,9,True,0.060777966
04352.ppm,1,True,0.060709294
04434.ppm,1,False,0.053969596
02045.ppm,2,False,0.03313588
12256.ppm,3,False,0.060423143
06223.ppm,29,True,0.050107233
09110.ppm,7,True,0.060740754
00652.ppm,13,True,0.06078631
11987.ppm,9,True,0.051411964
10441.ppm,8,True,0.060780596
03373.ppm,20,False,0.039212998
05702.ppm,12,True,0.060786817
09138.ppm,2,True,0.042723965
11777.ppm,38,True,0.060786817
01564.ppm,22,True,0.060786176
10469.ppm,18,True,0.054257024
08226.ppm,31,True,0.060021248
07115.ppm,30,True,0.053768717
08540.ppm,4,False,0.057445493
07673.ppm,38,True,0.060786817
09886.ppm,4,True,0.060786445
01202.ppm,25,True,0.060786817
11011.ppm,14,True,0.05847175
05064.ppm,11,True,0.060782872
12518.ppm,18,True,0.053401235
03415.ppm,2,False,0.054723047
05070.ppm,10,True,0.054820187
03401.ppm,9,True,0.06075357
08554.ppm,1,True,0.04282022
07667.ppm,31,True,0.05424296
00108.ppm,33,True,0.060786817
09892.ppm,38,False,0.052114636
01216.ppm,13,True,0.05949366
11005.ppm,4,True,0.06051603
06579.ppm,11,True,0.05557043
11763.ppm,23,True,0.060785618
01570.ppm,17,True,0.06078681
08232.ppm,1,True,0.03497095
07101.ppm,2,False,0.039558813
04408.ppm,5,False,0.03777787
03367.ppm,23,False,0.038287908
02079.ppm,17,True,0.060485344
05716.ppm,25,True,0.060786817
04378.ppm,35,True,0.038222387
03417.ppm,13,True,0.060786817
02709.ppm,25,True,0.060786683
05066.ppm,23,False,0.03729912
11013.ppm,12,True,0.06078666
01200.ppm,2,False,0.048654504
09884.ppm,12,True,0.060786817
08542.ppm,10,True,0.060061157
07671.ppm,5,True,0.05458516
